ASP,OrderingCode,Productno,Denomination,Qty,Comments,BOMFilter,Build Type,,,,,
TEF,5E2L18SCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB,,,5E2L18SCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCIDERS,NTB101242/1,SAU 02 01 kit,1,,,B3 NB,,,5E2L18SCIDERS,NTB101242/1,SAU 02 01 kit
Ericsson,5E2L18SCIDERS,RPM777429/01200,SAU 02 Power and EC-Bus cable,1,,,B3 NB,,,5E2L18SCIDERS,RPM777429/01200,SAU 02 Power and EC-Bus cable
Ericsson,5E2L18SCOAERS,SXK1253086/1,Cable guide,3,,,B3 NB,,,5E2L18SCOAERS,SXK1253086/1,Cable guide
Ericsson,5E2L18SCOAERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB,,,5E2L18SCOAERS,KDV127621/11,Baseband 6630 with fan
Ericsson,5E2L18SCOAERS,RPM777528/02500,ET Power cable,3,,,B3 NB,,,5E2L18SCOAERS,RPM777528/02500,ET Power cable
Ericsson,5E2L18SCOAERS,RPM777567/05000,Grounding Cable,3,,,B3 NB,,,5E2L18SCOAERS,RPM777567/05000,Grounding Cable
TEF,5E2L18SCOAERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,4,,,B3 NB,,,5E2L18SCOAERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,5E2L18SCOAERS,RNT44737/01,Circular Power Connector DC-C (2 wire),4,,,B3 NB,,,5E2L18SCOAERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,5E2L18SCOAERS,KRC161777/1,RADIO UNIT/Radio 4480B1B3,2,,,B3 NB,,,5E2L18SCOAERS,KRC161777/1,RADIO UNIT/Radio 4480B1B3
TEF,5E2L18SCOAERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB,,,5E2L18SCOAERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCSFERS,SXK1253086/1,Cable guide,3,,,B3 NB,,,5E2L18SCSFERS,SXK1253086/1,Cable guide
Ericsson,5E2L18SCSFERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB,,,5E2L18SCSFERS,KDV127621/11,Baseband 6630 with fan
Ericsson,5E2L18SCSFERS,RPM777528/02500,ET Power cable,3,,,B3 NB,,,5E2L18SCSFERS,RPM777528/02500,ET Power cable
Ericsson,5E2L18SCSFERS,RPM777567/05000,Grounding Cable,3,,,B3 NB,,,5E2L18SCSFERS,RPM777567/05000,Grounding Cable
Ericsson,5E2L18SCSFERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,4,,,B3 NB,,,5E2L18SCSFERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
Ericsson,5E2L18SCSFERS,RNT44737/01,Circular Power Connector DC-C (2 wire),4,,,B3 NB,,,5E2L18SCSFERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
Ericsson,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCSFERS,KRC161777/1,RADIO UNIT/Radio 4480B1B3,2,,,B3 NB,,,5E2L18SCSFERS,KRC161777/1,RADIO UNIT/Radio 4480B1B3
Ericsson,5E2L18SCSFERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB,,,5E2L18SCSFERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
Ericsson,5E2L18SCSFERS,BKV106246/1,"Fan tray, 24 VDC, 2.0 A, 358x29x54 mm (Radio 4480)",2,,,B3 NB,,,5E2L18SCSFERS,BKV106246/1,"Fan tray, 24 VDC, 2.0 A, 358x29x54 mm (Radio 4480)"
Ericsson,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2L18SCSFERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2LCIDERS,SXK1253086/1,Cable guide,3,,,B3 NB,,,5E2LCIDERS,SXK1253086/1,Cable guide
Ericsson,5E2LCIDERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB,,,5E2LCIDERS,KDV127621/11,Baseband 6630 with fan
Ericsson,5E2LCIDERS,RPM777528/02500,ET Power cable,3,,,B3 NB,,,5E2LCIDERS,RPM777528/02500,ET Power cable
Ericsson,5E2LCIDERS,RPM777567/05000,Grounding Cable,3,,,B3 NB,,,5E2LCIDERS,RPM777567/05000,Grounding Cable
TEF,5E2LCIDERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,4,,,B3 NB,,,5E2LCIDERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,5E2LCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire),4,,,B3 NB,,,5E2LCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2LCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2LCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2LCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2LCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,5E2LCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2LCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2LCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2LCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2LCIDERS,NTB101242/1,SAU 02 01 kit,1,,,B3 NB,,,5E2LCIDERS,NTB101242/1,SAU 02 01 kit
Ericsson,5E2LCIDERS,RPM777429/01200,SAU 02 Power and EC-Bus cable,1,,,B3 NB,,,5E2LCIDERS,RPM777429/01200,SAU 02 Power and EC-Bus cable
Ericsson,5E2LCIDERS,NCD90165/1,MODULE/GPS 04 01; GPS Receiver Unit,1,,,B3 NB,,,5E2LCIDERS,NCD90165/1,MODULE/GPS 04 01; GPS Receiver Unit
Ericsson,5E2LCIDERS,TSR951357/1500,CONNECTION CABLE/Jumper N(m)-SMA(m) 1.5m,1,,,B3 NB,,,5E2LCIDERS,TSR951357/1500,CONNECTION CABLE/Jumper N(m)-SMA(m) 1.5m
Ericsson,5E2LCIDERS,RPM1136127/1000,CABLE WITH CONNECTOR/RJ45(8)-RJ45(8) 1m,1,,,B3 NB,,,5E2LCIDERS,RPM1136127/1000,CABLE WITH CONNECTOR/RJ45(8)-RJ45(8) 1m
TEF,5E2LCIDERS,KRE1012395/1,ANTENNA/GPS Active Antenna,1,,,B3 NB,,,5E2LCIDERS,KRE1012395/1,ANTENNA/GPS Active Antenna
TEF,5E2LCIDERS,SXK1091931/1,"ASSEMBLED PARTS/GPS Mount, Steel",1,,,B3 NB,,,5E2LCIDERS,SXK1091931/1,"ASSEMBLED PARTS/GPS Mount, Steel"
TEF,5E2LCIDERS,RPM1191648/2,"EARTHING CABLE/16mm2,GNYE,2m,with 1 lug",1,,,B3 NB,,,5E2LCIDERS,RPM1191648/2,"EARTHING CABLE/16mm2,GNYE,2m,with 1 lug"
Ericsson,5E2LCOAERS,SXK1253086/1,Cable guide,3,,,B3 NB,,,5E2LCOAERS,SXK1253086/1,Cable guide
Ericsson,5E2LCOAERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB,,,5E2LCOAERS,KDV127621/11,Baseband 6630 with fan
Ericsson,5E2LCOAERS,RPM777528/02500,ET Power cable,3,,,B3 NB,,,5E2LCOAERS,RPM777528/02500,ET Power cable
Ericsson,5E2LCOAERS,RPM777567/05000,Grounding Cable,3,,,B3 NB,,,5E2LCOAERS,RPM777567/05000,Grounding Cable
TEF,5E2LCOAERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,4,,,B3 NB,,,5E2LCOAERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,5E2LCOAERS,RNT44737/01,Circular Power Connector DC-C (2 wire),4,,,B3 NB,,,5E2LCOAERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2LCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2LCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2LCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2LCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,5E2LCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2LCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2LCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2LCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2LCOAERS,NCD90165/1,MODULE/GPS 04 01; GPS Receiver Unit,1,,,B3 NB,,,5E2LCOAERS,NCD90165/1,MODULE/GPS 04 01; GPS Receiver Unit
Ericsson,5E2LCOAERS,TSR951357/1500,CONNECTION CABLE/Jumper N(m)-SMA(m) 1.5m,1,,,B3 NB,,,5E2LCOAERS,TSR951357/1500,CONNECTION CABLE/Jumper N(m)-SMA(m) 1.5m
Ericsson,5E2LCOAERS,RPM1136127/1000,CABLE WITH CONNECTOR/RJ45(8)-RJ45(8) 1m,1,,,B3 NB,,,5E2LCOAERS,RPM1136127/1000,CABLE WITH CONNECTOR/RJ45(8)-RJ45(8) 1m
TEF,5E2LCOAERS,KRE1012395/1,ANTENNA/GPS Active Antenna,1,,,B3 NB,,,5E2LCOAERS,KRE1012395/1,ANTENNA/GPS Active Antenna
TEF,5E2LCOAERS,SXK1091931/1,"ASSEMBLED PARTS/GPS Mount, Steel",1,,,B3 NB,,,5E2LCOAERS,SXK1091931/1,"ASSEMBLED PARTS/GPS Mount, Steel"
TEF,5E2LCOAERS,RPM1191648/2,"EARTHING CABLE/16mm2,GNYE,2m,with 1 lug",1,,,B3 NB,,,5E2LCOAERS,RPM1191648/2,"EARTHING CABLE/16mm2,GNYE,2m,with 1 lug"
Ericsson,5E2NRIDERS,SXK1253086/1,Cable guide,3,,,B3 NB,,,5E2NRIDERS,SXK1253086/1,Cable guide
Ericsson,5E2NRIDERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB,,,5E2NRIDERS,KDV127621/11,Baseband 6630 with fan
Ericsson,5E2NRIDERS,RPM777528/02500,ET Power cable,3,,,B3 NB,,,5E2NRIDERS,RPM777528/02500,ET Power cable
Ericsson,5E2NRIDERS,RPM777567/05000,Grounding Cable,3,,,B3 NB,,,5E2NRIDERS,RPM777567/05000,Grounding Cable
TEF,5E2NRIDERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,2,,,B3 NB,,,5E2NRIDERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,5E2NRIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB,,,5E2NRIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2NRIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2NRIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2NRIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2NRIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,5E2NRIDERS,KRC161549/1,"Radio 2217 B20 (800 MHz DD), 10W+10W HWAC incl.",2,,,B3 NB,,,5E2NRIDERS,KRC161549/1,"Radio 2217 B20 (800 MHz DD), 10W+10W HWAC incl."
TEF,5E2NRIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB,,,5E2NRIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2NRIDERS,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24,4,,,B3 NB,,,5E2NRIDERS,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24
Ericsson,5E2NRIDERS,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24,4,,,B3 NB,,,5E2NRIDERS,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24
TEF,5E2NRIDERS,KRC161635/1,RADIO UNIT/Radio 4415 B1,2,,,B3 NB,,,5E2NRIDERS,KRC161635/1,RADIO UNIT/Radio 4415 B1
TEF,5E2NRIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB,,,5E2NRIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2NRIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2NRIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2NRIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2NRIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2NRIDERS,NTB101242/1,SAU 02 01 kit,1,,,B3 NB,,,5E2NRIDERS,NTB101242/1,SAU 02 01 kit
Ericsson,5E2NRIDERS,RPM777429/01200,SAU 02 Power and EC-Bus cable,1,,,B3 NB,,,5E2NRIDERS,RPM777429/01200,SAU 02 Power and EC-Bus cable
Ericsson,5E2NROAERS,SXK1253086/1,Cable guide,3,,,B3 NB,,,5E2NROAERS,SXK1253086/1,Cable guide
Ericsson,5E2NROAERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB,,,5E2NROAERS,KDV127621/11,Baseband 6630 with fan
Ericsson,5E2NROAERS,RPM777528/02500,ET Power cable,3,,,B3 NB,,,5E2NROAERS,RPM777528/02500,ET Power cable
Ericsson,5E2NROAERS,RPM777567/05000,Grounding Cable,3,,,B3 NB,,,5E2NROAERS,RPM777567/05000,Grounding Cable
TEF,5E2NROAERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,2,,,B3 NB,,,5E2NROAERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,5E2NROAERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB,,,5E2NROAERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2NROAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2NROAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2NROAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2NROAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,5E2NROAERS,KRC161549/1,"Radio 2217 B20 (800 MHz DD), 10W+10W HWAC incl.",2,,,B3 NB,,,5E2NROAERS,KRC161549/1,"Radio 2217 B20 (800 MHz DD), 10W+10W HWAC incl."
TEF,5E2NROAERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB,,,5E2NROAERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2NROAERS,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24,4,,,B3 NB,,,5E2NROAERS,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24
Ericsson,5E2NROAERS,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24,4,,,B3 NB,,,5E2NROAERS,RDH10247/2,OPTICAL TRANSCEIVER/TRX SM CPRI 614.4-24
TEF,5E2NROAERS,KRC161635/1,RADIO UNIT/Radio 4415 B1,2,,,B3 NB,,,5E2NROAERS,KRC161635/1,RADIO UNIT/Radio 4415 B1
TEF,5E2NROAERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB,,,5E2NROAERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2NROAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2NROAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2NROAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2NROAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2SCIDERS,SXK1253086/1,Cable guide,3,,,B3 NB,,,5E2SCIDERS,SXK1253086/1,Cable guide
Ericsson,5E2SCIDERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB,,,5E2SCIDERS,KDV127621/11,Baseband 6630 with fan
Ericsson,5E2SCIDERS,RPM777528/02500,ET Power cable,3,,,B3 NB,,,5E2SCIDERS,RPM777528/02500,ET Power cable
Ericsson,5E2SCIDERS,RPM777567/05000,Grounding Cable,3,,,B3 NB,,,5E2SCIDERS,RPM777567/05000,Grounding Cable
TEF,5E2SCIDERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,4,,,B3 NB,,,5E2SCIDERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,5E2SCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire),4,,,B3 NB,,,5E2SCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,5E2SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,5E2SCIDERS,KRC161635/1,RADIO UNIT/Radio 4415 B1,2,,,B3 NB,,,5E2SCIDERS,KRC161635/1,RADIO UNIT/Radio 4415 B1
TEF,5E2SCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB,,,5E2SCIDERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2SCIDERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2SCIDERS,NTB101242/1,SAU 02 01 kit,1,,,B3 NB,,,5E2SCIDERS,NTB101242/1,SAU 02 01 kit
Ericsson,5E2SCOAERS,SXK1253086/1,Cable guide,3,,,B3 NB,,,5E2SCOAERS,SXK1253086/1,Cable guide
Ericsson,5E2SCOAERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB,,,5E2SCOAERS,KDV127621/11,Baseband 6630 with fan
Ericsson,5E2SCOAERS,RPM777528/02500,ET Power cable,3,,,B3 NB,,,5E2SCOAERS,RPM777528/02500,ET Power cable
Ericsson,5E2SCOAERS,RPM777567/05000,Grounding Cable,3,,,B3 NB,,,5E2SCOAERS,RPM777567/05000,Grounding Cable
TEF,5E2SCOAERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B,4,,,B3 NB,,,5E2SCOAERS,KRC161797/1,RADIO UNIT/Radio 2238 B8 B20 B28B
TEF,5E2SCOAERS,RNT44737/01,Circular Power Connector DC-C (2 wire),4,,,B3 NB,,,5E2SCOAERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,5E2SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
TEF,5E2SCOAERS,KRC161635/1,RADIO UNIT/Radio 4415 B1,2,,,B3 NB,,,5E2SCOAERS,KRC161635/1,RADIO UNIT/Radio 4415 B1
TEF,5E2SCOAERS,RNT44737/01,Circular Power Connector DC-C (2 wire),2,,,B3 NB,,,5E2SCOAERS,RNT44737/01,Circular Power Connector DC-C (2 wire)
TEF,5E2SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm,4,,,B3 NB,,,5E2SCOAERS,RDH10265/2,SFP+ SM 10.3Gb/s 1.4km 1310nm
Ericsson,5E2SCSFERS,SXK1253086/1,Cable guide,3,,,B3 NB,,,5E2SCSFERS,SXK1253086/1,Cable guide
Ericsson,5E2SCSFERS,KDV127621/11,Baseband 6630 with fan,3,,,B3 NB,,,5E2SCSFERS,KDV127621/11,Baseband 6630 with fan
Ericsson,5E2SCSFERS,RPM777528/02500,ET Power cable,3,,,B3 NB,,,5E2SCSFERS,RPM777528/02500,ET Power cable
Ericsson,5E2SCSFERS,RPM777567/05000,Grounding Cable,3,,,B3 NB,,,5E2SCSFERS,RPM777567/05000,Grounding Cable
